Name,Contract No,PCR No,Content Type,Document ID,Livelink ID,Original Path,Item Type,Path
408522_105_CI-PCN-032A.pdf,408522,105,Change Requests,FUXEN4K22T6K-31-66108,193047498,\SCM-CCA-RFI\00273|408522|187\408522_105_CI-PCN-032A.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_187
00273_409564_50,409564,3,Change Requests Document Set,FUXEN4K22T6K-31-66109,193002254,\SCM-CCA-RFI\00273|409564|50,Folder,corporate/SCMCCA/Change Requests
409564_3 Copy of Fieldhouse RFI 1.xlsx,409564,3,Change Requests,FUXEN4K22T6K-31-66110,193003079,\SCM-CCA-RFI\00273|409564|50\409564_3 Copy of Fieldhouse RFI 1.xlsx,Item,corporate/SCMCCA/Change Requests/00273_409564_50
RFI_Response_409564_3_Internal_APPROVED_26_Sep_2015_16-01.pdf,409564,3,Change Requests,FUXEN4K22T6K-31-66112,193041488,\SCM-CCA-RFI\00273|409564|50\00 Internal Documents\RFI_Response_409564_3_Internal_APPROVED_26_Sep_2015_16-01.pdf,Item,corporate/SCMCCA/Change Requests/00273_409564_50/00 Internal Documents
409564_3_FH001.pdf,409564,3,Change Requests,FUXEN4K22T6K-31-66113,193047026,\SCM-CCA-RFI\00273|409564|50\409564_3_FH001.pdf,Item,corporate/SCMCCA/Change Requests/00273_409564_50
00273_415908_382,415908,90,Change Requests Document Set,FUXEN4K22T6K-31-66114,193005492,\SCM-CCA-RFI\00273|415908|382,Folder,corporate/SCMCCA/Change Requests
415908_90 CLO-415908-BF-RFI-080.xlsx,415908,90,Change Requests,FUXEN4K22T6K-31-66115,193002169,\SCM-CCA-RFI\00273|415908|382\415908_90 CLO-415908-BF-RFI-080.xlsx,Item,corporate/SCMCCA/Change Requests/00273_415908_382
415908_90 CLO-415908-BF-RFI-080.pdf,415908,90,Change Requests,FUXEN4K22T6K-31-66116,193002170,\SCM-CCA-RFI\00273|415908|382\415908_90 CLO-415908-BF-RFI-080.pdf,Item,corporate/SCMCCA/Change Requests/00273_415908_382
00273_414532_5744,414532,55,Change Requests Document Set,FUXEN4K22T6K-31-66118,193015118,\SCM-CCA-RFI\00273|414532|5744,Folder,corporate/SCMCCA/Change Requests
414532_TA-P14-014-RF-ME-239.xlsx,414532,55,Change Requests,FUXEN4K22T6K-31-66119,193020632,\SCM-CCA-RFI\00273|414532|5744\414532_TA-P14-014-RF-ME-239.xlsx,Item,corporate/SCMCCA/Change Requests/00273_414532_5744
RFI_Response_414532_55_Internal_APPROVED_28_Sep_2015_11-06.pdf,414532,55,Change Requests,FUXEN4K22T6K-31-66121,193064394,\SCM-CCA-RFI\00273|414532|5744\00 Internal Documents\RFI_Response_414532_55_Internal_APPROVED_28_Sep_2015_11-06.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5744/00 Internal Documents
414532_55 ME-239.pdf,414532,55,Change Requests,FUXEN4K22T6K-31-66122,193084453,\SCM-CCA-RFI\00273|414532|5744\414532_55 ME-239.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5744
00273_414307_342,414307,20,Change Requests Document Set,FUXEN4K22T6K-31-66123,193021023,\SCM-CCA-RFI\00273|414307|342,Folder,corporate/SCMCCA/Change Requests
414307_20 BBS438 RFI021.xlsx,414307,20,Change Requests,FUXEN4K22T6K-31-66124,193017351,\SCM-CCA-RFI\00273|414307|342\414307_20 BBS438 RFI021.xlsx,Item,corporate/SCMCCA/Change Requests/00273_414307_342
RFI_Response_414307_20_Internal_APPROVED_11_Oct_2015_09-34.pdf,414307,20,Change Requests,FUXEN4K22T6K-31-66126,193391718,\SCM-CCA-RFI\00273|414307|342\00 Internal Documents\RFI_Response_414307_20_Internal_APPROVED_11_Oct_2015_09-34.pdf,Item,corporate/SCMCCA/Change Requests/00273_414307_342/00 Internal Documents
414307_20_BBS438 RFI021.pdf,414307,20,Change Requests,FUXEN4K22T6K-31-66127,193538968,\SCM-CCA-RFI\00273|414307|342\414307_20_BBS438 RFI021.pdf,Item,corporate/SCMCCA/Change Requests/00273_414307_342
00273_407166_776,407166,4,Change Requests Document Set,FUXEN4K22T6K-31-66128,193029255,\SCM-CCA-RFI\00273|407166|776,Folder,corporate/SCMCCA/Change Requests
407166_4 RFI-004.xlsx,407166,4,Change Requests,FUXEN4K22T6K-31-66129,193027624,\SCM-CCA-RFI\00273|407166|776\407166_4 RFI-004.xlsx,Item,corporate/SCMCCA/Change Requests/00273_407166_776
RFI-004 contractors estimate sheet BU-0402 and back up.pdf,407166,4,Change Requests,FUXEN4K22T6K-31-66130,193027732,\SCM-CCA-RFI\00273|407166|776\RFI-004 contractors estimate sheet BU-0402 and back up.pdf,Item,corporate/SCMCCA/Change Requests/00273_407166_776
Rfi_004 contract 407166.msg,407166,4,Change Requests,FUXEN4K22T6K-31-66131,193029934,\SCM-CCA-RFI\00273|407166|776\Rfi_004 contract 407166.msg,Item,corporate/SCMCCA/Change Requests/00273_407166_776
RFI_Response_407166_4_Internal_APPROVED_30_Sep_2015_07-15.pdf,407166,4,Change Requests,FUXEN4K22T6K-31-66133,193106030,\SCM-CCA-RFI\00273|407166|776\00 Internal Documents\RFI_Response_407166_4_Internal_APPROVED_30_Sep_2015_07-15.pdf,Item,corporate/SCMCCA/Change Requests/00273_407166_776/00 Internal Documents
RFI_Response_407166_4_External_APPROVED_30_Sep_2015_07-15.pdf,407166,4,Change Requests,FUXEN4K22T6K-31-66134,193108428,\SCM-CCA-RFI\00273|407166|776\RFI_Response_407166_4_External_APPROVED_30_Sep_2015_07-15.pdf,Item,corporate/SCMCCA/Change Requests/00273_407166_776
Capital Projects  Makloc's RFI(s)  RFI 001  002  004  003  407166_001 _ 002 for Signature.msg,407166,4,Change Requests,FUXEN4K22T6K-31-66135,193624684,\SCM-CCA-RFI\00273|407166|776\Capital Projects  Makloc's RFI(s)  RFI 001  002  004  003  407166_001 & 002 for Signature.msg,Item,corporate/SCMCCA/Change Requests/00273_407166_776
